match_id,date,season,venue,team,opponent,winner,team_win,expanding_win_pct,ewm_win_pct,win_streak,team_margin,ewm_margin_strength,ewm_margin_volatility,opponent_expanding_win_pct,diff_expanding_win_pct,opponent_ewm_win_pct,diff_ewm_win_pct,opponent_win_streak,diff_win_streak,opponent_ewm_margin_strength,diff_ewm_margin_strength,opponent_ewm_margin_volatility,diff_ewm_margin_volatility,season_exp_win_pct,season_roll5_win_pct,opponent_season_exp_win_pct,diff_season_exp_win_pct,opponent_season_roll5_win_pct,diff_season_roll5_win_pct
2008_1st,2008-04-18,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,1,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_1st,2008-04-18,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,0,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_2nd,2008-04-19,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Chennai Super Kings,Punjab Kings,Chennai Super Kings,1,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_3rd,2008-04-19,2008,Arun Jaitley Stadium (Delhi),Rajasthan Royals,Delhi Capitals,Delhi Daredevils,0,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_3rd,2008-04-19,2008,Arun Jaitley Stadium (Delhi),Delhi Capitals,Rajasthan Royals,Delhi Daredevils,0,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_2nd,2008-04-19,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Punjab Kings,Chennai Super Kings,Chennai Super Kings,0,0.5,0.5,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0
2008_4th,2008-04-20,2008,Eden Gardens (Kolkata),Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,1,1.0,1.0,1.0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5
2008_5th,2008-04-20,2008,Wankhede Stadium (Mumbai),Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bangalore,0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5
2008_5th,2008-04-20,2008,Wankhede Stadium (Mumbai),Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bangalore,0,0.0,0.0,0.0,0,0.0,0.0,0.5,-0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
2008_4th,2008-04-20,2008,Eden Gardens (Kolkata),Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,0.5,0.5,0.0,0,0.0,0.0,1.0,-0.5,1.0,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,-0.5,1.0,-0.5
2008_6th,2008-04-21,2008,Sawai Mansingh Stadium (Jaipur),Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_6th,2008-04-21,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Punjab Kings,Rajasthan Royals,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_7th,2008-04-22,2008,Rajiv Gandhi International Stadium (Hyderabad),Delhi Capitals,Deccan Chargers,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_7th,2008-04-22,2008,Rajiv Gandhi International Stadium (Hyderabad),Deccan Chargers,Delhi Capitals,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_8th,2008-04-23,2008,MA Chidambaram Stadium (Chennai),Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,0.0,0.0,0.0,0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2008_8th,2008-04-23,2008,MA Chidambaram Stadium (Chennai),Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2008_9th,2008-04-24,2008,Rajiv Gandhi International Stadium (Hyderabad),Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0,0.0,0.0,0.0,0,0.0,0.0,0.5,-0.5,0.3,-0.3,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
2008_9th,2008-04-24,2008,Rajiv Gandhi International Stadium (Hyderabad),Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,0.5,0.3,1.0,0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5
2008_10th,2008-04-25,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Punjab Kings,Mumbai Indians,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_10th,2008-04-25,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Mumbai Indians,Punjab Kings,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_11th,2008-04-26,2008,MA Chidambaram Stadium (Chennai),Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1,1.0,1.0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2008_12th,2008-04-26,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,0,0.0,0.0,0.0,0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.51,-0.51,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.6666666666666666
