venue,matches,avg_total,high_score_rate,low_score_rate,recent_avg_total
Arun Jaitley Stadium,97,171.77,0.35,0.24,191.6
Barabati Stadium,7,167.71,0.29,0.43,167.71
"Barsapara Cricket Stadium, Guwahati",5,174.6,0.4,0.2,174.6
Brabourne Stadium,10,180.4,0.4,0.0,180.4
"Brabourne Stadium, Mumbai",17,177.41,0.41,0.18,168.0
Buffalo Park,3,147.33,0.0,0.67,147.33
De Beers Diamond Oval,3,158.0,0.0,0.33,158.0
Dr DY Patil Sports Academy,37,159.65,0.19,0.3,154.6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17,169.53,0.29,0.35,175.3
Dubai International Cricket Stadium,46,163.76,0.17,0.26,165.7
Eden Gardens,100,168.6,0.26,0.28,176.5
"Ekana Cricket Stadium, Lucknow",22,175.36,0.36,0.23,175.3
Green Park,4,161.25,0.25,0.25,161.25
Himachal Pradesh Cricket Association Stadium,15,183.13,0.47,0.2,187.5
Holkar Cricket Stadium,9,160.33,0.22,0.33,160.33
JSCA International Stadium Complex,7,149.0,0.0,0.71,149.0
Kingsmead,15,152.0,0.13,0.47,151.3
M Chinnaswamy Stadium,99,172.98,0.37,0.2,179.0
MA Chidambaram Stadium,92,162.87,0.24,0.35,154.8
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",11,168.91,0.36,0.36,168.4
Maharashtra Cricket Association Stadium,35,168.29,0.2,0.14,165.3
"Narendra Modi Stadium, Ahmedabad",45,180.38,0.44,0.18,159.6
Nehru Stadium,5,146.8,0.0,0.4,146.8
New Wanderers Stadium,8,144.0,0.0,0.75,144.0
Newlands,7,139.43,0.0,0.71,139.43
OUTsurance Oval,2,135.0,0.0,1.0,135.0
"Punjab Cricket Association Stadium, Mohali",61,168.28,0.23,0.25,166.8
"Rajiv Gandhi International Stadium, Uppal",83,164.92,0.28,0.45,206.0
Saurashtra Cricket Association Stadium,10,168.9,0.2,0.2,168.9
Sawai Mansingh Stadium,64,165.53,0.23,0.25,169.6
Shaheed Veer Narayan Singh International Stadium,6,146.33,0.0,0.5,146.33
Sharjah Cricket Stadium,28,159.04,0.25,0.54,152.8
Sheikh Zayed Stadium,29,158.86,0.24,0.28,145.5
St George's Park,7,159.0,0.14,0.43,159.0
Subrata Roy Sahara Stadium,16,149.44,0.06,0.44,144.5
SuperSport Park,12,154.83,0.08,0.42,150.9
"Vidarbha Cricket Association Stadium, Jamtha",3,149.33,0.0,0.33,149.33
Wankhede Stadium,126,169.21,0.34,0.23,167.3
"Zayed Cricket Stadium, Abu Dhabi",8,159.0,0.25,0.38,159.0
